郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
邱德根，祖籍浙江宁波[1] ，1924年生于上海。1950年到香港荃湾经营戏院。1962年买入荔园游乐场。1958年开设远东银行，任董事长。1982年收购亚洲电视有限公司（亚视）任主席。并先后兼任远东酒店实业有限公司、远东投资实业有限公司、远东发展有限公司董事长。是第六届全国政协委员。2015年3月17日，邱德根逝世，终年90岁。[2-3] 	邱德根 祖籍 浙江 宁波 生于 上海 香港 荃湾 经营 戏院 买入 荔园 游乐场 开设 远东 银行 董事长 收购 亚洲电视 有限公司 亚视 主席 先后 兼任 远东 酒店 实业 有限公司 远东 投资 实业 有限公司 远东 发展 有限公司 董事长 第六届 全国政协 委员 邱德根 逝世 终年
楚原，原名张宝坚，广东梅县人，1934年生于广州[1] ，曾在中山大学化学系读了三年。其父张活游是著名粤剧与电影演员，其妻南红亦是著名的粤语片明星。1979年拍摄电影《孔雀王朝》获得第25届亚太影展最佳导演。最卖座电影是《英雄无泪》，打破票房记录，楚原是拍摄古龙电影最多的导演。2018年3月，荣获第37届香港电影金像奖颁奖典礼终身成就奖。[2] 	楚原 原名 张宝坚 广东 梅县 生于 广州 中山大学 化学系 三年 其父 张活 游是 著名 粤剧 电影演员 其妻 南红 著名 粤语片 明星 拍摄 电影 孔雀 王朝 获得 亚太 影展 最佳 导演 卖座 电影 英雄 无泪 打破 票房记录 楚原 拍摄 古龙 电影 最多 导演 荣获 香港电影 金像奖 颁奖典礼 终身 成就奖
蒋孝勇（1948年10月27日～1996年12月22日），男，汉族，浙江宁波奉化人，出生于上海，蒋介石幼孙，蒋经国第五子。自小深得蒋介石、宋美龄夫妇的疼爱。长大后入读军校，后插班进入台湾大学就读。1973年7月23日与蒋方智怡结婚。婚后两人育有3个儿子：蒋友柏、蒋友常和蒋友青。后将全家迁往加拿大定居。几年后加入加拿大国籍，1996年12月22日，蒋孝勇因患癌症，在台北荣民总医院去世。	蒋孝勇 汉族 浙江 宁波 奉化 生于 上海 蒋介石 幼孙 蒋经国 第五 自小 深得 蒋介石 宋美龄 夫妇 疼爱 长大 后入 军校 插班 进入 台湾大学 就读 蒋方智 结婚 婚后 两人育 儿子 蒋友柏 蒋友常 蒋友青 全家 迁往 加拿大 定居 几年 加入 加拿大 国籍 蒋孝勇 因患 癌症 台北 荣民 总医院 去世
翟俊杰，1941年9月出生于河南省开封市，毕业于解放军艺术学院戏剧系，中国内地导演、编剧、制作人，八一电影制片厂文学部主任。1986年，执导个人第一部电影——战争片《血战台儿庄》[1] 。1988年，编导近代片《共和国不会忘记》[2] 。1991年，凭借执导的战争片《大决战2：淮海战役》获得第12届中国电影金鸡奖最佳导演奖[3] 。1994年，拍摄剧情片《金沙水拍》[4] 。1997年，执导剧情片《挺立潮头》[5] 。2003年，拍摄剧情片《惊涛骇浪》，该片获得第23届电影金鸡奖最佳故事片奖[6] 。2006年，执导战争片《我的长征》，该片获得第26届金鸡奖评委会特别荣誉奖[7] 。2010年，执导传记剧《赵丹》[8] 。2014年，执导悬疑动作片《一号目标》，该片是第22届中国金鸡百花电影节国产优秀新片展的开幕影片[9] 。2015年12月16日，作为嘉宾出席了第3届金丹若国际微电影节[10] 。	翟俊杰 生于 河南省 开封市 毕业 解放军艺术学院 戏剧系 中国 内地 导演 编剧 制作 八一电影制片厂 文学部 主任 执导 个人 第一部 电影 战争片 血战 台儿庄 编导 近代 共和国 不会 忘记 执导 战争片 大决战 淮海战役 获得 中国 电影 金鸡奖 最佳 导演奖 拍摄 剧情片 金沙水 执导 剧情片 挺立 潮头 拍摄 剧情片 惊涛骇浪 该片 获得 电影 金鸡奖 最佳 故事片 执导 战争片 长征 该片 获得 金鸡奖 评委会 特别 荣誉奖 执导 传记 赵丹 执导 悬疑 动作片 一号 目标 该片 中国 金鸡 百花 电影节 国产 优秀 新片 开幕 影片 嘉宾 出席 金丹 国际 电影节
邓沐玮，男，1948年4月出生，汉族，天津人。第一批国家级非物质文化遗产项目京剧代表性传承人。京剧净角，天津市京剧团主演，国家一级演员。[1] 	邓沐玮 出生 汉族 天津人 第一批 国家级 物质 文化遗产 项目 京剧 代表性 传承 京剧 净角 天津市 京剧团 主演 国家一级 演员
王佩元，为国家一级演员，是相声名家常宝霆的弟子。1949年出生，1971年即以与老师合作表演的作品《挖宝》享誉全国。他的代表作品还有《并非讽刺裁判》《攀龙附凤》《新潮商人》等，深受广大观众好评。多年来，他曾经与常宝霆、苏文茂、常宝丰、张志宽、赵伟洲、刘俊杰等合作。在天津市曲艺团工作数十年后，于1997年调入解放军海政文工团，同常贵田成为搭档，从此踏上了更加广阔的艺术天地。	王佩元 国家一级 演员 相声 名家 常宝霆 弟子 出生 老师 合作 表演 作品 挖宝 享誉 全国 代表作品 并非 讽刺 裁判 攀龙附凤 新潮 商人 深受 广大观众 好评 多年 曾经 常宝霆 苏文茂 宝丰 张志 赵伟洲 俊杰 合作 天津市 曲艺团 工作 数十年 调入 解放军 海政 文工团 同常贵田 成为 搭档 从此 踏上 更加 广阔 艺术 天地
聂力，1930年9月生，女，重庆市江津区人。中国共产党党员。中国人民解放军高级将领，中国第一位女中将。曾任国防部科委科技部副局长，国防科工委科学技术委员会副主任兼秘书长等职。为第六届、第七届全国妇联副主席，七届、八届人大代表。1988年，被授予少将军衔，1993年7月24日，晋升中将，成为中国人民解放军第一位女性中将。父亲是聂荣臻元帅，丈夫是丁衡高，中国工程院院士，曾任国防科工委主任。	聂力 月生 重庆市 江津 区人 中国共产党 党员 中国人民解放军 高级将领 中国 第一位 中将 曾任 国防部 科委 科技部 副局长 国防科工委 科学技术委员会 主任 秘书长 第六届 第七届 全国妇联 主席 七届 八届 人大代表 授予 少将 军衔 晋升 中将 成为 中国人民解放军 第一位 女性 中将 父亲 聂荣臻 元帅 丈夫 丁衡 中国工程院 院士 曾任 国防科工委 主任
张志明，1947年3月5日出生于杭州，中国剧协会员、中国电视家协会会员、中国电影表演学会会员、中国戏曲表演学会理事、中国广电学会戏曲电视研究会理事，国家一级演员。	张志明 日出 生于 杭州 中国 剧协 会员 中国 电视 协会会员 中国 电影 表演 学会 会员 中国戏曲 表演 学会 理事 中国 广电 学会 戏曲 电视 研究会 理事 国家一级 演员
韩少云（1931年—2003年7月20日），河北秦皇岛人，生于河北省山海关八里堡，后定居河北省玉田县。原名王守贞。评剧演员，工旦角。1940年，开始向继父学戏。13岁时，拜评剧演员刘子西为师。14岁时，以艺名韩少云参加演出。1946年，开始挑梁演戏。1950年夏，调至东北唐山评剧院。1952年10月，携剧目《小女婿》参加了第一届全国戏曲观摩演出大会，凭借该剧获得了演员一等奖[1] 。1953年，携剧目《小二黑结婚》参加东北区戏剧、音乐、舞蹈汇演，获得了优秀表演奖[2] 。1959年，排演了剧目《人面桃花》。1963年，排演了剧目《杜鹃山》，凭借该剧获得了沈阳市戏剧汇演优秀表演奖[3] 。1966年，排演了剧目《更高目标》。1978年，在沈阳市举行的表演赛中获荣誉奖。1979年，在沈阳市举行的表演赛中获荣誉奖。1981年，排演了剧目《家》。1989年，韩少云从沈阳市评剧院退休。2003年7月20日凌晨7时15分，韩少云因心脏病突发，医治无效，在沈阳逝世，终年72岁[4] 。韩少云所扮演角色达到了形似与神似的统一，为评剧表现现实生活和扩大表演题材提供了可贵的经验，被誉为“韩派”[5] 。	韩少云 河北 秦皇岛 生于 河北省 山海关 八里 定居 河北省 玉田县 原名 守贞 评剧 演员 旦角 继父 学戏 评剧 演员 刘子 西为 艺名 韩少云 参加 演出 挑梁 演戏 东北 唐山 评剧院 剧目 女婿 参加 第一届 全国 戏曲 观摩演出 大会 该剧 获得 演员 一等奖 剧目 小二黑 结婚 参加 东北区 戏剧 音乐 舞蹈 汇演 获得 优秀 表演奖 排演 剧目 人面桃花 排演 剧目 杜鹃山 该剧 获得 沈阳市 戏剧 汇演 优秀 表演奖 排演 剧目 更高 目标 沈阳市 举行 表演赛 中获 荣誉奖 沈阳市 举行 表演赛 中获 荣誉奖 排演 剧目 韩少云 沈阳市 评剧院 退休 凌晨 韩少云因 心脏病 突发 医治无效 沈阳 逝世 终年 韩少云 扮演 角色 达到 形似 统一 评剧 表现 现实生活 扩大 表演 题材 提供 可贵 经验 被誉为 韩派
沈云门(AlfredSung)，是华裔、加拿大著名设计师，其设计的香水、婚纱和腕表尤为出名。沈云门被称为加拿大“时装大王”。众人所不知的是，沈云门就是香港著名演员沈殿霞的弟弟。沈云门(AlfredSung)的作品多次获奖，时装王国不断扩大，扩及至包括男士服装、香氛、饰物、婚纱等，被称为加拿大的“非正式大使”，为推广加国时装作出了巨大贡献。	沈云门 AlfredSung 华裔 加拿大 著名 设计师 设计 香水 婚纱 腕表 尤为 出名 沈云门 称为 加拿大 时装 大王 众人 不知 沈云门 香港 著名演员 沈殿霞 弟弟 沈云门 AlfredSung 作品 多次 获奖 时装 王国 不断扩大 扩及 包括 男士服装 香氛 饰物 婚纱 称为 加拿大 非正式 大使 推广 时装 作出 巨大贡献
邹文怀（ChowManWai，Raymond,1927年10月8日~2018年11月2日），生于香港，籍贯广东省梅州市大埔县。电影事业家、制片人，嘉禾电影创办人，嘉禾电影（集团）主席兼执行董事。[1] 1957年，邹文怀加盟邵氏集团，1970年自行创立嘉禾电影，公司在20世纪70、80年代与邵氏兄弟对峙，其本人与邵逸夫同被视为香港电影的泰山北斗。1988年获大英官佐勋章（OBE勋爵），1998年获香港特区政府颁发金紫荆星章。2007年，邹文怀将嘉禾股份全部出售给橙天娱乐，隐退影坛。[2] 2008年获香港电影金像奖终身成就奖。[3] 嘉禾电影在香港电影黄金时代先后栽培过李小龙、成龙、许冠文、洪金宝、张曼玉、邓光荣、梅艳芳、李连杰、吴思远、徐克、赵文卓等著名电影人。[4] 2018年11月2日，邹文怀去世，享年91岁。[5] 	邹文怀 ChowManWai Raymond 生于 香港 籍贯 广东省 梅州市 大埔县 电影 事业 制片人 嘉禾 电影 创办人 嘉禾 电影 集团 主席 执行 董事 邹文怀 加盟 邵氏 集团 自行 创立 嘉禾 电影 公司 世纪 年代 邵氏 兄弟 对峙 本人 邵逸夫 视为 香港电影 泰山北斗 大英 官佐 勋章 OBE 勋爵 香港特区政府 颁发 金紫荆 星章 邹文怀 嘉禾 股份 全部 出售 给橙天 娱乐 隐退 影坛 香港电影 金像奖 终身 成就奖 嘉禾 电影 香港电影 黄金时代 先后 栽培 李小龙 成龙 许冠文 洪金宝 张曼玉 邓光荣 梅艳芳 李连杰 吴思远 徐克 赵文卓 著名 电影 邹文怀 去世 享年
王庆祥，1949年2月20日生于北京，中国内地影视男演员。1983年参演电视剧《合理冲撞》，从此步入影视圈。[1] 1999年主演电视剧《波涛汹涌》饰“秦矢”，获第19届中国电视金鹰奖观众最喜爱电视剧男演员奖提名。[2] 2000年主演电影《生死抉择》饰“李高诚”，获第7届中国电影华表奖优秀男演员奖、[3] 第24届大众电影百花奖最佳男演员奖。[4] 2001年主演电视剧《天下粮仓》饰”刘统勋“，获第22届中国电视剧飞天奖优秀男演员奖提名。[5] 2005年参演电影《任长霞》饰”郑刚“，获28届大众电影百花奖最佳男配角奖提名。[6] 2013年参演王家卫电影《一代宗师》饰”宫羽田“，获得第29届中国电影金鸡奖最佳男配角奖、[7] 第14届华语电影传媒大奖最佳男配角奖。[8] 主演电视剧《北平无战事》饰“方步亭”，获2014安徽卫视《国剧盛典》年度演技实力派演员奖。[9] 2017年参演电影《刺局》[10] 。2019年1月，参演刘一志执导的电视剧《热血同行》[11] 。	王庆祥 生于 北京 中国 内地 影视 男演员 参演 电视剧 合理冲撞 从此 步入 影视圈 主演 电视剧 波涛汹涌 秦矢 中国 电视 金鹰奖 观众 喜爱 电视剧 男演员 奖提名 主演 电影 生死 抉择 李高诚 中国 电影 华表奖 优秀 男演员 大众 电影 百花奖 最佳 男演员 主演 电视剧 天下 粮仓 刘统勋 中国 电视剧 飞天奖 优秀 男演员 奖提名 参演 电影 任长霞 郑刚 大众 电影 百花奖 最佳 男配角 奖提名 参演 王家卫 电影 一代宗师 羽田 获得 中国 电影 金鸡奖 最佳 配角奖 华语 电影 传媒 大奖 最佳 配角奖 主演 电视剧 北平 无战事 方步 安徽 卫视 国剧 盛典 年度 演技 实力派 演员 参演 电影 刺局 参演 刘一志 执导 电视剧 热血 同行
罗康瑞，男，汉族，1948年4月生于香港，祖籍广东普宁市，于1998年获香港特别行政区政府颁授金紫荆星章，翌年获委任为太平绅士。罗康瑞，2017年获香港特别行政区政府颁授大紫荆勋章。[1] 2019年福布斯全球亿万富豪榜排名第1008位，财富值23亿美元。[2] 罗康瑞，现任瑞安集团主席、博鳌亚洲论坛理事会成员、长江开发促进会会长及香港工商专业联会永远名誉会长。[3-5] 2020年2月26日，罗康瑞以100亿元人民币财富名列《2020世茂深港国际中心·胡润全球富豪榜》第2000位。[6] 2020年3月20日，罗康瑞以100亿元人民币财富名列《2020胡润全球房地产富豪榜》第191位。[7] 	罗康瑞 汉族 生于 香港 祖籍 广东 普宁市 香港特别行政区政府 颁授 金紫荆 星章 翌年 委任 太平 绅士 罗康瑞 香港特别行政区政府 颁授 紫荆 勋章 福布斯 全球 亿万富豪 排名第 财富 亿美元 罗康瑞 现任 瑞安 集团 主席 博鳌 亚洲 论坛 理事会 成员 长江 开发 促进会 会长 香港 工商 专业 联会 永远 名誉会长 罗康瑞以 亿元 人民币 财富 名列 世茂 深港 国际 中心 胡润 全球 富豪榜 罗康瑞以 亿元 人民币 财富 名列 胡润 全球 房地产 富豪榜
许还山，1937年7月13日出生于江西乐平，毕业于北京电影学院，演员、导演。1956年入北京电影学院表演系学习。1957年被错划为右派分子。留校劳动。1966年至新疆劳动。1979年，回京主演影片《樱》。1980年起任西安电影制片厂演员。1986年转任导演。1987年，导演了电影《盲流》及电视剧《铸情岁月》，凭借《古越轶事》夺得首届电影艺术学会奖[1] 。1993年，凭借《筏子客》夺得第四届电影艺术学会奖[2] 。1997年，参演历史剧《司马迁》[3] 。2001年，拍摄了历史悬疑剧《江山为重》[4] 。2003年，主演了清宫历史剧《宫廷画师郎世宁》[5] 。2005年，拍摄枪战悬疑剧《喋血大汉口》[6] 。2008年，出演了李少红版四大名著之一的《红楼梦》[7] 。2010年，拍摄电影《白鹿原》[8] 。2013年，获得中国电影表演艺术学会特别荣誉奖[9] 。2016年，出演历史文化正剧《老子传奇》[10] 。2017年，主演院线主旋律电影《我的老兵爷爷》[11] 。2019年11月23日，第32届中国电影金鸡奖颁奖典礼在厦门举行，许还山获“中国文联终身成就电影艺术家”荣誉。[12] 	许还山 日出 生于 江西 乐平 毕业 北京电影学院 演员 导演 年入 北京电影学院 表演系 学习 错划 右派分子 留校 劳动 新疆 劳动 回京 主演 影片 起任 西安 电影 制片厂 演员 转任 导演 导演 电影 盲流 电视剧 铸情 岁月 古越 轶事 夺得 首届 电影 艺术 学会 筏子 夺得 第四届 电影 艺术 学会 参演 历史剧 司马迁 拍摄 历史 悬疑剧 江山 为重 主演 清宫 历史剧 宫廷 画师 郎世宁 拍摄 枪战 悬疑剧 喋血 汉口 出演 李少 红版 四大名著 红楼梦 拍摄 电影 白鹿原 获得 中国 电影 表演艺术 学会 特别 荣誉奖 出演 历史 文化 正剧 老子 传奇 主演 院线 主旋律 电影 老兵 爷爷 中国 电影 金鸡奖 颁奖典礼 厦门 举行 许还山 中国文联 终身 成就 电影 艺术家 荣誉
鲍起静，1949年7月20日出生于香港，香港艺人、演员。1966年，考入长城电影公司的艺员训练班。1977年，参与其父鲍方执导的香港文艺片《屈原》。1980年，参与长城公司投拍的武侠电影《白发魔女传》。2008年，鲍起静参演香港导演许鞍华执导的电影《天水围的日与夜》，凭借此片先后获得第15届香港评论学会的最佳女主角奖[1] 、第28届香港电影金像奖最佳女主角奖[2] 。2010年参演电影《月满轩尼诗》[3] 。2013年先后出演电视剧《岁月楼情》、麦浚龙执导的电影《僵尸》。	鲍起静 日出 生于 香港 香港艺人 演员 考入 长城 电影 公司 艺员 训练班 参与 其父 鲍方 执导 香港 文艺片 屈原 参与 长城公司 投拍 武侠 电影 白发 魔女传 鲍起静 参演 香港 导演 许鞍华 执导 电影 天水 此片 先后 获得 香港 评论 学会 最佳 主角奖 香港电影 金像奖 最佳 主角奖 参演 电影 轩尼诗 先后 出演 电视剧 岁月 楼情 麦浚龙 执导 电影 僵尸
王铁成，原名王铁城，1936年出生于北京市，中国内地演员，毕业于中央戏剧学院表演系。1977年，在话剧《转折》、《报童》中饰演周恩来[1] 。1978年，主演个人首部电影《大河奔流》，该片是新中国成立后第一次出现周恩来领袖形象的电影[2] 。1979年，凭借人物传记电影《李四光》获得中国文化部颁发的“青年优秀创作奖”[3] 。1981年，主演革命电影《西安事变》[4] 。1985年，主演剧情电影《金陵之夜》。1992年，凭借传记电影《周恩来》获得第12届中国电影金鸡奖最佳男主角奖[3] 、第15届大众电影百花奖最佳男演员奖[3] 。1999年，主演剧情电影《李知凡太太》[5] 。2018年5月27日，纪念周恩来诞辰120周年，参加诗歌咏诵汇《相会中华腾飞时·传世经典颂恩来》活动[6] 。2019年11月23日，第32届中国电影金鸡奖颁奖典礼在厦门举行，王铁成获“中国文联终身成就电影艺术家”荣誉。[7] 	王铁成 原名 王铁城 年出 生于 北京市 中国 内地 演员 毕业 中央 戏剧学院表演系 话剧 转折 报童 饰演 周恩来 主演 个人 首部 电影 大河 奔流 该片 中国 成立 第一次 出现 周恩来 领袖 形象 电影 人物传记 电影 李四光 获得 中国文化部 颁发 青年 优秀 创作奖 主演 革命 电影 西安事变 主演 剧情 电影 金陵 之夜 传记 电影 周恩来 获得 中国 电影 金鸡奖 最佳 主角奖 大众 电影 百花奖 最佳 男演员 主演 剧情 电影 李知 太太 纪念 周恩来 诞辰 周年 参加 诗歌 诵汇 相会 中华 腾飞 传世 经典 恩来 活动 中国 电影 金鸡奖 颁奖典礼 厦门 举行 王铁成 中国文联 终身 成就 电影 艺术家 荣誉
王蒙，男，河北南皮人，祖籍河北沧州，1934年10月15日生于北平（今北京市）。中共第十二届、十三届中央委员，第八、九、十届全国政协常委。中国当代作家、学者，文化部原部长，中国作家协会名誉主席，任解放军艺术学院、南京大学、浙江大学、上海师范大学、华中师范大学、新疆大学、新疆师范大学、中国海洋大学、安徽师范大学教授、名誉教授、顾问，中国海洋大学文新学院院长。现在居住在北京，著有长篇小说《青春万岁》《活动变人形》等近百部小说，其作品反映了中国人民在前进道路上的坎坷历程。曾获意大利蒙德罗文学奖、日本创价学会和平与文化奖、俄罗斯科学院远东研究所与澳门大学荣誉博士学位、约旦作家协会名誉会员等荣衔。作品翻译为二十多种语言在各国发行。[1] 2017年12月，王蒙《奇葩奇葩处处哀》获得第十七届百花文学奖中篇小说奖。[2] 2019年9月23日，王蒙长篇小说《青春万岁》入选“新中国70年70部长篇小说典藏”。[3] 2019年9月17日，国家主席习近平签署主席令，授予王蒙“人民艺术家”国家荣誉称号。	王蒙 河北 南皮 祖籍 河北 沧州 生于 北平 北京市 中共 第十二届 十三届 中央委员 第八 十届 全国政协 常委 中国 当代作家 学者 文化部 部长 中国作家协会 名誉主席 解放军艺术学院 南京大学 浙江大学 上海师范大学 华中师范大学 新疆大学 新疆师范大学 中国 海洋大学 安徽师范大学 教授 名誉教授 顾问 中国 海洋大学 文新 学院 院长 现在 居住 北京 长篇小说 青春 万岁 活动 人形 百部 小说 作品 反映 中国 人民 前进 道路 坎坷 历程 意大利 德罗 文学奖 日本 创价 学会 和平 文化 俄罗斯科学院 远东 研究所 澳门大学 荣誉 博士学位 约旦 作家协会 名誉会员 荣衔 作品 翻译 二十多种 语言 各国 发行 王蒙 奇葩 奇葩 处处 获得 第十七届 百花 文学奖 中篇小说 王蒙 长篇小说 青春 万岁 入选 中国 长篇小说 典藏 国家 主席 习近平 签署 主席令 授予 王蒙 人民 艺术家 国家 荣誉称号
狄龙（TommyTam），本名谭富荣，1946年8月19日生于中国香港，动作演员、导演、编剧。[1] 1973年凭借复仇题材电影《刺马》获得第11届台湾电影金马奖“优秀演技特别奖”和第19届亚太电影节“优异演技奖”。[2] 1980年凭借动作片《少林英雄》获得了第17届台湾电影金马奖“最佳男主角奖提名”。1986年凭借犯罪片《英雄本色》获得了第23届台湾电影金马奖“最佳男主角奖”。1991年狄龙出演慈善片《豪门夜宴》。[3] 1994年狄龙主演功夫片《醉拳II》。[4] 2000年凭借喜剧片《流星语》获得了第19届香港电影金像奖“最佳男配角奖”。2007年获得了第12届香港电影金紫荆奖“卓越成就奖”。2015年出演电视剧《神探亨特詹》。[2] 2019年2月，参演的电视剧《乡村爱情11》在优酷播出[5] 。	狄龙 TommyTam 本名 谭富荣 生于 中国香港 动作 演员 导演 编剧 复仇 题材 电影 刺马 获得 台湾 电影 金马奖 优秀 演技 特别奖 亚太 电影节 优异 演技 动作片 少林 英雄 获得 台湾 电影 金马奖 最佳 主角奖 提名 犯罪 英雄本色 获得 台湾 电影 金马奖 最佳 主角奖 狄龙 出演 慈善 豪门 夜宴 狄龙 主演 功夫片 醉拳 II 喜剧片 流星 获得 香港电影 金像奖 最佳 配角奖 获得 香港电影 金紫荆 卓越 成就奖 出演 电视剧 神探 亨特 参演 电视剧 乡村 爱情 优酷 播出
胡德平，男，汉族，1942年11月，湖南浏阳人，原中共中央总书记胡耀邦之子。北京大学历史系党史专业毕业，大学学历。历任中共中央统战部副部长，十届全国人大常委、全国人大内务司法委员会委员，中华全国工商业联合会第一副主席、党组书记，十二届全国政协常委、全国政协经济委员会副主任委员。现为北京曹雪芹学会会长。[1] 	胡德平 汉族 湖南 浏阳 中共中央 总书记 胡耀邦 之子 北京大学历史系 党史 专业 毕业 大学 学历 历任 中共中央统战部 部长 十届 全国人大 常委 全国人大 内务司法委员会 委员 中华全国工商业联合会 第一副 主席 党组书记 十二届 全国政协 常委 全国政协 经济委员会 主任委员 现为 北京 曹雪芹 学会 会长
菅义伟（すがよしひで），男，1948年12月6日出生于秋田县雄胜町（今汤沢市），日本政治家，自由民主党成员。曾任日本内阁官房长官[1-3] ，现任日本第99任首相、自由民主党总裁。[4] 菅义伟系农家出身，日本法政大学法学部毕业后，任众议员小此木彦三郎秘书、通产大臣秘书官、横滨市议员等。曾任日本自民党副干事长、国土交通大臣政务官、经济产业大臣政务官、总务副大臣等，属自民党丹羽古贺派[5] ；又曾任主管选举事务的干事长代行，安倍政府的内阁总务大臣。2012年自民党再次执政后任内阁官房长官，并成为日本迄今为止任职时间最长的内阁官房长官。[6] 2020年9月14日，菅义伟当选执政党日本自民党总裁。9月16日下午，菅义伟经过众议院的首相指名选举及德仁天皇认证，正式成为日本第99任首相，菅义伟内阁也于当天成立。[4] [7-9] 	菅义伟 日出 生于 秋田县 雄胜 日本 政治家 自由民主党 成员 曾任 日本 内阁 官房长官 现任 日本 首相 自由民主党 总裁 菅义 伟系 农家 出身 日本 法政 大学 法学部 毕业 众议员 小此 木彦三郎 秘书 通产 大臣 秘书官 横滨市 议员 曾任 日本自民党 干事长 国土 交通 大臣 政务官 经济 产业 大臣 政务官 总务 大臣 自民党 丹羽 古贺派 曾任 主管 选举事务 干事长 代行 安倍 政府 内阁 总务 大臣 自民党 再次 执政 后任 内阁 官房长官 成为 日本 迄今为止 任职 时间 最长 内阁 官房长官 菅义伟 当选 执政党 日本自民党 总裁 下午 菅义伟 众议院 首相 指名 选举 及德 仁天皇 认证 正式 成为 日本 首相 菅义伟 内阁 当天 成立
王学圻，1946年3月19日出生于北京，中国导演、演员。[1] 2000年，凭借《相伴永远》获“华表奖”优秀男演员和电影表演艺术学会优秀男演员奖。2008年，在电影《梅兰芳》中，王学圻饰演梅兰芳早年对手十三燕。2010年，王学圻凭借《十月围城》李玉堂一角，获得第四届亚洲电影大奖最佳男主角以及香港金像奖、台湾金马奖最佳男主角提名。[1] 2015年4月30日，电影《赤道》上映，王学圻在剧中饰演大陆特派高官公务员[2] 。2017年9月29日，电影《空天猎》上映，王学圻在片中饰演陈安禾。[3] 2017年10月13日，反映国家精准扶贫工作的电影《十八洞村》上映，王学圻担任主演，在片中饰演杨英俊[4] 。2019年12月12日，主演的电影《天火》上映[5] 。	王学圻 日出 生于 北京 中国 导演 演员 相伴 永远 华表奖 优秀 男演员 电影 表演艺术 学会 优秀 男演员 电影 梅兰芳 王学圻 饰演 梅兰芳 早年 对手 王学圻 十月 围城 李玉堂 一角 获得 第四届 亚洲 电影 大奖 最佳 男主角 香港 金像奖 台湾 金马奖 最佳 男主角 提名 电影 赤道 上映 王学圻 剧中 饰演 大陆 特派 高官 公务员 电影 空天猎 上映 王学圻 片中 饰演 陈安禾 反映 国家 精准 扶贫 工作 电影 洞村 上映 王学圻 担任 主演 片中 饰演 英俊 主演 电影 天火 上映
李兆基[1] ，1928年2月20日生于广东顺德大良。他在家中排行第四，故有“四叔”的称号。香港地产发展商，恒基兆业、中华煤气主席、新鸿基地产发展有限公司副主席。李兆基家族是香港四大家族之一。[2] 1996年，李兆基被福布斯杂志评为亚洲首富，世界排名第四，这也是华人在福布斯富豪榜上获得的最高名次，1997年再度蝉联亚洲首富[3] 。2020年《福布斯》发布香港富豪榜显示，李兆基位居第一，身价304亿美元[4] 。现任恒基集团主席，分别任香港恒基兆业发展有限公司及恒基兆业地产有限公司主席兼总经理，恒基中国集团有限公司主席兼总裁，香港中华煤气有限公司主席，新鸿基地产发展有限公司副主席，美丽华酒店企业有限公司、香港小轮（集团）有限公司、东亚银行有限公司董事，香港地产建设商会副会长，香港港事顾问，香港特别行政区筹委会委员及推选委员会委员，香港顺德联谊总会荣誉会长，世界顺德联谊总会名誉会长。2015年06月02日的恒基地产主席李兆基宣布退任恒基发展主席兼董事总经理，7月1日起交棒于小儿子李家诚，并安排两位重臣李宁及欧肇基辅助，市场认为是为四叔的恒地王国接班铺路[5] 。2019年3月，以301亿美元财富排名2019年福布斯全球亿万富豪榜第29位[6] 。5月28日，李兆基退任恒基兆业地产有限公司主席兼总经理、提名委员会及薪酬委员会成员职务，并继续留任为该公司执行董事。[7] 2020年2月6日，李兆基凭借304亿美元的身家位列“2020年香港50大富豪榜单”第1。[8-9] 	李兆基 生于 广东 顺德 大良 家中 排行 第四 故有 四叔 称号 香港 地产 发展商 恒基 兆业 中华 煤气 主席 新鸿基 地产 发展 有限公司 主席 李兆基 家族 香港 四大家族 李兆基 福布斯 杂志 评为 亚洲 首富 世界排名 第四 华人 福布斯 富豪榜 获得 最高 名次 再度 蝉联 亚洲 首富 福布斯 发布 香港 富豪榜 显示 李兆基 位居 第一 身价 亿美元 现任 恒基 集团 主席 分别 香港 恒基 兆业 发展 有限公司 恒基 兆业 地产 有限公司 主席 总经理 恒基 中国 集团 有限公司 主席 总裁 香港 中华 煤气 有限公司 主席 新鸿基 地产 发展 有限公司 主席 美丽 酒店 企业 有限公司 香港 小轮 集团 有限公司 东亚银行 有限公司 董事 香港 地产 建设 商会 副会长 香港 港事 顾问 香港特别行政区 筹委会 委员 推选 委员会 委员 香港 顺德 联谊 总会 荣誉 会长 世界 顺德 联谊 总会 名誉会长 恒基 地产 主席 李兆基 宣布 退任 恒基 发展 主席 董事 总经理 日起 交棒于 小儿子 李家 安排 两位 重臣 李宁 及欧 肇基 辅助 市场 认为 四叔 恒地 王国 接班 铺路 亿美元 财富 排名 福布斯 全球 亿万富豪 李兆基 退任 恒基 兆业 地产 有限公司 主席 总经理 提名 委员会 薪酬 委员会 成员 职务 继续 留任 公司 执行 董事 李兆基 亿美元 身家 位列 香港 富豪榜
